Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
234,Dean Henderson,eng ENG,GK,Crystal Palace,26,1997,18.0,,,,,,,,,,,,,,,,,Matches
235,Rico Henry,jm JAM,DF,Brentford,26,1997,4.5,,,,,,,,,,,,,,,,,Matches
236,Son Heung-min,kr KOR,"FW,MF",Tottenham Hotspur,31,1992,32.6,,,,,,,,,,,,,,,,,Matches
237,Aaron Hickey,sct SCO,"DF,MF",Brentford,21,2002,7.9,,,,,,,,,,,,,,,,,Matches
238,James Hill,eng ENG,DF,Bournemouth,21,2002,0.8,,,,,,,,,,,,,,,,,Matches
239,Jack Hinshelwood,eng ENG,"DF,MF",Brighton,18,2005,9.7,,,,,,,,,,,,,,,,,Matches
240,Mason Holgate,jm JAM,DF,Sheffield United,26,1996,7.9,,,,,,,,,,,,,,,,,Matches
241,Callum Hudson-Odoi,eng ENG,"MF,FW",Nottingham Forest,22,2000,20.6,,,,,,,,,,,,,,,,,Matches
242,Will Hughes,eng ENG,MF,Crystal Palace,28,1995,21.0,,,,,,,,,,,,,,,,,Matches
243,Pierre Højbjerg,dk DEN,MF,Tottenham Hotspur,27,1995,14.6,,,,,,,,,,,,,,,,,Matches
244,Rasmus Højlund,dk DEN,FW,Manchester Utd,20,2003,24.0,,,,,,,,,,,,,,,,,Matches
245,Igor,br BRA,DF,Brighton,25,1998,18.2,,,,,,,,,,,,,,,,,Matches
246,Danny Ings,eng ENG,"FW,MF",West Ham United,31,1992,4.5,,,,,,,,,,,,,,,,,Matches
247,Tim Iroegbunam,eng ENG,MF,Aston Villa,20,2003,1.8,,,,,,,,,,,,,,,,,Matches
248,Alexander Isak,se SWE,FW,Newcastle United,23,1999,25.1,,,,,,,,,,,,,,,,,Matches
249,Alex Iwobi,ng NGA,MF,Everton,27,1996,1.6,,,,,,,,,,,,,,,,,Matches
250,Alex Iwobi,ng NGA,MF,Fulham,27,1996,24.4,,,,,,,,,,,,,,,,,Matches
251,Nicolas Jackson,sn SEN,FW,Chelsea,22,2001,31.1,,,,,,,,,,,,,,,,,Matches
252,Reece James,eng ENG,"DF,MF",Chelsea,23,1999,4.7,,,,,,,,,,,,,,,,,Matches
253,Vitaly Janelt,de GER,"MF,DF",Brentford,25,1998,33.9,,,,,,,,,,,,,,,,,Matches
254,Daniel Jebbison,ca CAN,FW,Sheffield United,19,2003,0.2,,,,,,,,,,,,,,,,,Matches
