Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
390,Jake O'Brien,ie IRL,DF,Everton,23,2001,17.5,,,,,,,,,,,,,,,,,,,,,Matches
391,Matt O'Riley,dk DEN,MF,Brighton,23,2000,10.4,,,,,,,,,,,,,,,,,,,,,Matches
392,Dara O'Shea,ie IRL,DF,Ipswich Town,25,1999,34.7,,,,,,,,,,,,,,,,,,,,,Matches
393,Chidozie Obi-Martin,dk DEN,FW,Manchester Utd,16,2007,1.8,,,,,,,,,,,,,,,,,,,,,Matches
394,Wilson Odobert,fr FRA,"FW,MF",Tottenham Hotspur,19,2004,9.4,,,,,,,,,,,,,,,,,,,,,Matches
395,Chiedozie Ogbene,ie IRL,MF,Ipswich Town,27,1997,2.6,,,,,,,,,,,,,,,,,,,,,Matches
396,Caleb Okoli,it ITA,DF,Leicester City,23,2001,12.5,,,,,,,,,,,,,,,,,,,,,Matches
397,Robin Olsen,se SWE,GK,Aston Villa,34,1990,2.5,,,,,,,,,,,,,,,,,,,,,Matches
398,Amadou Onana,be BEL,MF,Aston Villa,22,2001,18.0,,,,,,,,,,,,,,,,,,,,,Matches
399,André Onana,cm CMR,GK,Manchester Utd,28,1996,34.0,,,,,,,,,,,,,,,,,,,,,Matches
400,Paul Onuachu,ng NGA,FW,Southampton,30,1994,11.7,,,,,,,,,,,,,,,,,,,,,Matches
401,Frank Onyeka,ng NGA,MF,Brentford,26,1998,0.3,,,,,,,,,,,,,,,,,,,,,Matches
402,Lewis Orford,eng ENG,MF,West Ham United,18,2006,0.5,,,,,,,,,,,,,,,,,,,,,Matches
403,Stefan Ortega,de GER,GK,Manchester City,31,1992,12.2,,,,,,,,,,,,,,,,,,,,,Matches
404,William Osula,dk DEN,FW,Newcastle United,20,2003,1.5,,,,,,,,,,,,,,,,,,,,,Matches
405,Dango Ouattara,bf BFA,"MF,FW",Bournemouth,22,2002,22.3,,,,,,,,,,,,,,,,,,,,,Matches
406,Nico O’Reilly,eng ENG,DF,Manchester City,19,2005,5.9,,,,,,,,,,,,,,,,,,,,,Matches
407,Alex Palmer,eng ENG,GK,Ipswich Town,27,1996,13.0,,,,,,,,,,,,,,,,,,,,,Matches
408,Cole Palmer,eng ENG,MF,Chelsea,22,2002,35.5,,,,,,,,,,,,,,,,,,,,,Matches
