Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
171,Douglas,br BRA,MF,Nantes,26,1997,19.7,,,,,,,,,,,,,,,0,,,,,,Matches
172,Ismaël Doukouré,fr FRA,"MF,DF",Strasbourg,20,2003,18.4,,,,,,,,,,,,,,,0,,,,,,Matches
173,Kamory Doumbia,ml MLI,MF,Brest,20,2003,9.8,,,,,,,,,,,,,,,5,,,,,,Matches
174,Jean-Kevin Duverne,ht HAI,DF,Nantes,26,1997,15.0,,,,,,,,,,,,,,,0,,,,,,Matches
175,Aron Dønnum,no NOR,"MF,FW",Toulouse,25,1998,17.7,,,,,,,,,,,,,,,1,,,,,,Matches
176,Simon Ebonog,cm CMR,MF,Le Havre,18,2004,0.2,,,,,,,,,,,,,,,0,,,,,,Matches
177,Hugo Ekitike,fr FRA,FW,Paris Saint-Germain,21,2002,0.1,,,,,,,,,,,,,,,0,,,,,,Matches
178,Simon Elisor,fr FRA,FW,Metz,24,1999,8.5,,,,,,,,,,,,,,,0,,,,,,Matches
179,Breel Embolo,ch SUI,FW,Monaco,26,1997,2.0,,,,,,,,,,,,,,,0,,,,,,Matches
180,Emanuel Emegha,nl NED,FW,Strasbourg,20,2003,23.1,,,,,,,,,,,,,,,1,,,,,,Matches
181,Maxime Estève,fr FRA,DF,Montpellier,21,2002,11.1,,,,,,,,,,,,,,,1,,,,,,Matches
182,Oscar Estupiñan,co COL,FW,Metz,26,1996,2.9,,,,,,,,,,,,,,,0,,,,,,Matches
183,Romain Faivre,fr FRA,MF,Lorient,25,1998,16.1,,,,,,,,,,,,,,,1,,,,,,Matches
184,Ilhan Fakili,fr FRA,MF,Clermont Foot,17,2006,1.0,,,,,,,,,,,,,,,0,,,,,,Matches
185,Khalil Fayad,fr FRA,MF,Montpellier,19,2004,11.4,,,,,,,,,,,,,,,0,,,,,,Matches
186,Ichem Ferrah,fr FRA,MF,Lille,17,2005,0.0,,,,,,,,,,,,,,,0,,,,,,Matches
187,Jordan Ferri,fr FRA,MF,Montpellier,31,1992,22.6,,,,,,,,,,,,,,,1,,,,,,Matches
188,Malick Fofana,be BEL,"FW,MF",Lyon,18,2005,6.2,,,,,,,,,,,,,,,0,,,,,,Matches
189,Youssouf Fofana,fr FRA,MF,Monaco,24,1999,30.0,,,,,,,,,,,,,,,4,,,,,,Matches
190,Thomas Foket,be BEL,"DF,MF",Reims,28,1994,20.4,,,,,,,,,,,,,,,1,,,,,,Matches
191,Tiago Fonseca Morais,pt POR,MF,Lille,19,2003,0.5,,,,,,,,,,,,,,,0,,,,,,Matches
192,Przemysław Frankowski,pl POL,MF,Lens,28,1995,24.4,,,,,,,,,,,,,,,2,,,,,,Matches
193,Angelo Fulgini,fr FRA,MF,Lens,26,1996,15.3,,,,,,,,,,,,,,,2,,,,,,Matches
194,Kévin Gameiro,fr FRA,"FW,MF",Strasbourg,36,1987,15.0,,,,,,,,,,,,,,,2,,,,,,Matches
195,Ignatius Ganago,cm CMR,"MF,FW",Nantes,24,1999,2.0,,,,,,,,,,,,,,,0,,,,,,Matches
196,Ulisses Garcia,ch SUI,"DF,MF",Marseille,27,1996,10.1,,,,,,,,,,,,,,,0,,,,,,Matches
197,Johan Gastien,fr FRA,MF,Clermont Foot,35,1988,25.1,,,,,,,,,,,,,,,0,,,,,,Matches
198,Yann Gboho,fr FRA,"MF,FW",Toulouse,22,2001,13.3,,,,,,,,,,,,,,,2,,,,,,Matches
199,Gelabert,es ESP,"MF,FW",Toulouse,22,2000,8.4,,,,,,,,,,,,,,,2,,,,,,Matches
200,Denis Genreau,au AUS,MF,Toulouse,24,1999,5.2,,,,,,,,,,,,,,,0,,,,,,Matches
201,Samuel Gigot,fr FRA,DF,Marseille,29,1993,19.2,,,,,,,,,,,,,,,0,,,,,,Matches
202,Aleksandr Golovin,ru RUS,MF,Monaco,27,1996,23.9,,,,,,,,,,,,,,,6,,,,,,Matches
203,Angel Gomes,eng ENG,MF,Lille,22,2000,28.6,,,,,,,,,,,,,,,8,,,,,,Matches
204,Maxime Gonalons,fr FRA,MF,Clermont Foot,34,1989,14.4,,,,,,,,,,,,,,,0,,,,,,Matches
205,Mathieu Gorgelin,fr FRA,GK,Le Havre,32,1990,1.0,,,,,,,,,,,,,,,0,,,,,,Matches
206,Amine Gouiri,dz ALG,"FW,MF",Rennes,23,2000,23.0,,,,,,,,,,,,,,,3,,,,,,Matches
207,Jonathan Gradit,fr FRA,DF,Lens,30,1992,23.5,,,,,,,,,,,,,,,0,,,,,,Matches
208,Samuel Grandsir,fr FRA,MF,Le Havre,26,1996,6.7,,,,,,,,,,,,,,,1,,,,,,Matches
209,Adrian Grbić,at AUT,"FW,MF",Lorient,26,1996,0.3,,,,,,,,,,,,,,,0,,,,,,Matches
210,Gabriel Gudmundsson,se SWE,"MF,DF",Lille,24,1999,14.1,,,,,,,,,,,,,,,0,,,,,,Matches
211,Axel Gueguin,fr FRA,DF,Montpellier,18,2005,1.5,,,,,,,,,,,,,,,0,,,,,,Matches
212,Mattéo Guendouzi,fr FRA,MF,Marseille,24,1999,0.2,,,,,,,,,,,,,,,0,,,,,,Matches
213,Evann Guessand,ci CIV,FW,Nice,22,2001,17.3,,,,,,,,,,,,,,,0,,,,,,Matches
214,Pape Gueye,sn SEN,"MF,DF",Marseille,24,1999,8.5,,,,,,,,,,,,,,,0,,,,,,Matches
215,Morgan Guilavogui,gn GUI,FW,Lens,25,1998,6.3,,,,,,,,,,,,,,,0,,,,,,Matches
216,Frederic Guilbert,fr FRA,"DF,MF",Strasbourg,28,1994,27.7,,,,,,,,,,,,,,,0,,,,,,Matches
217,Jaouen Hadjam,dz ALG,DF,Nantes,20,2003,1.2,,,,,,,,,,,,,,,0,,,,,,Matches
